,ORDER_DATE,QUARTER,MONTH,YEAR,REGION,STATE,SHIPPING_TYPE,CUSTOMER_TYPE,QUANTITY_ORDERED,DEAL_SIZE,PRICE_EACH,MSRP,PRODUCT_TYPE,PRODUCT_LINE,SALES
0,2020-02-02,1,2,2020,1,1,1,0,30,2,95.7,95,0,2,2871.0
1,2021-05-05,2,5,2021,1,7,1,0,34,2,81.35,95,1,16,2765.9
2,2021-07-07,3,7,2021,1,2,1,1,41,1,94.74,95,1,15,3884.34
3,2020-08-08,3,8,2020,1,14,1,0,45,1,83.26,95,1,12,3746.7
4,2021-10-10,4,10,2021,1,14,1,1,49,1,100.0,95,0,2,5205.27
5,2020-10-10,4,10,2020,1,14,1,1,36,1,96.66,95,1,16,3479.76
6,2020-11-11,4,11,2020,1,6,1,0,29,2,86.13,95,1,14,2497.77
7,2021-11-11,4,11,2021,1,3,1,0,48,1,100.0,95,1,8,5512.32
8,2021-12-12,4,12,2021,1,14,1,1,22,2,98.57,95,0,7,2168.54
9,2020-01-01,1,1,2020,1,3,1,0,41,1,100.0,95,1,14,4708.44
10,2020-02-02,1,2,2020,1,8,1,0,37,1,100.0,95,0,0,3965.66
11,2021-04-04,2,4,2021,1,1,1,0,23,2,100.0,95,1,3,2333.12
12,2020-05-05,2,5,2020,1,8,1,0,28,1,100.0,95,1,3,3188.64
13,2020-06-06,2,6,2020,1,9,1,1,34,1,100.0,95,0,7,3676.76
14,2021-07-07,3,7,2021,1,3,1,1,45,1,92.83,95,1,15,4177.35
15,2021-08-08,3,8,2021,0,12,1,0,36,1,100.0,95,1,14,4099.68
16,2021-09-09,3,9,2021,1,3,1,0,23,2,100.0,95,0,11,2597.39
17,2021-10-10,4,10,2021,0,13,1,1,41,1,100.0,95,0,7,4394.38
18,2020-11-11,4,11,2020,0,13,1,0,46,1,94.74,95,1,14,4358.04
19,2021-11-11,4,11,2021,1,1,1,1,42,1,100.0,95,1,8,4396.14
20,2021-11-11,4,11,2021,1,3,1,1,41,0,100.0,95,0,6,7737.93
21,2021-12-12,4,12,2021,1,5,1,1,20,2,72.55,95,1,4,1451.0
22,2021-02-02,1,2,2021,1,3,1,0,21,2,34.91,95,0,7,733.11
23,2020-03-03,1,3,2020,0,12,1,1,42,1,76.36,95,1,8,3207.12
24,2021-04-04,2,4,2021,1,3,1,0,24,2,100.0,95,1,14,2434.56
25,2020-05-05,2,5,2020,1,7,0,0,66,0,100.0,95,0,11,7516.08
26,2021-01-01,1,1,2021,1,2,1,0,26,1,100.0,214,1,15,5404.62
27,2021-03-03,1,3,2021,1,3,1,0,29,0,100.0,214,1,17,7209.11
28,2020-05-05,2,5,2020,1,1,1,1,38,0,100.0,214,1,4,7329.06
29,2021-07-07,3,7,2021,1,14,1,1,37,0,100.0,214,1,14,7374.1
30,2021-09-09,3,9,2021,1,3,1,0,45,0,100.0,214,0,13,10993.5
31,2021-10-10,4,10,2021,1,1,1,1,21,1,100.0,214,1,8,4860.24
32,2021-11-11,4,11,2021,1,0,1,1,34,0,100.0,214,1,12,8014.82
33,2021-11-11,4,11,2021,0,13,1,1,23,1,100.0,214,1,3,5372.57
34,2020-11-11,4,11,2020,1,3,1,0,42,0,100.0,214,0,0,7290.36
35,2021-12-12,4,12,2021,1,6,1,0,47,0,100.0,214,0,0,9064.89
36,2021-01-01,1,1,2021,1,14,1,1,35,1,100.0,214,0,6,6075.3
37,2021-03-03,1,3,2021,0,12,1,1,29,1,100.0,214,0,13,6463.23
38,2021-05-05,2,5,2021,1,9,1,0,34,1,100.0,214,0,2,6120.34
39,2020-06-06,2,6,2020,1,0,1,0,32,0,100.0,214,0,9,7680.64
