,ORDERDATE,YEAR,MONTH,QUARTER,QUANTITY_ORDERED,PRICE_EACH,MSRP,SALES,STATUS,PRODUCT_LINE,STATE,DEAL_SIZE
0,2003-02-24,2003,2,1,30,95.7,95,2871.0,5,1,9,2
1,2003-05-07,2003,5,2,34,81.35,95,2765.9,5,1,1,2
2,2003-07-01,2003,7,3,41,94.74,95,3884.34,5,1,1,1
3,2003-08-25,2003,8,3,45,83.26,95,3746.7,5,1,1,1
4,2003-10-10,2003,10,4,49,100.0,95,5205.27,5,1,1,1
5,2003-10-28,2003,10,4,36,96.66,95,3479.76,5,1,1,1
6,2003-11-11,2003,11,4,29,86.13,95,2497.77,5,1,1,2
7,2003-11-18,2003,11,4,48,100.0,95,5512.32,5,1,1,1
8,2003-12-01,2003,12,4,22,98.57,95,2168.54,5,1,1,2
9,2004-01-15,2004,1,1,41,100.0,95,4708.44,5,1,1,1
10,2004-02-20,2004,2,1,37,100.0,95,3965.66,5,1,15,1
11,2004-04-05,2004,4,2,23,100.0,95,2333.12,5,1,9,2
12,2004-05-18,2004,5,2,28,100.0,95,3188.64,5,1,6,1
13,2004-06-28,2004,6,2,34,100.0,95,3676.76,5,1,2,1
14,2004-07-23,2004,7,3,45,92.83,95,4177.35,5,1,1,1
15,2004-08-27,2004,8,3,36,100.0,95,4099.68,5,1,4,1
16,2004-09-30,2004,9,3,23,100.0,95,2597.39,5,1,1,2
17,2004-10-15,2004,10,4,41,100.0,95,4394.38,5,1,1,1
18,2004-11-02,2004,11,4,46,94.74,95,4358.04,5,1,11,1
19,2004-11-15,2004,11,4,42,100.0,95,4396.14,5,1,9,1
20,2004-11-24,2004,11,4,41,100.0,95,7737.93,5,1,1,0
21,2004-12-17,2004,12,4,20,72.55,95,1451.0,5,1,7,2
22,2005-02-03,2005,2,1,21,34.91,95,733.11,5,1,1,2
23,2005-03-03,2005,3,1,42,76.36,95,3207.12,5,1,4,1
24,2005-04-08,2005,4,2,24,100.0,95,2434.56,5,1,1,2
25,2005-05-13,2005,5,2,66,100.0,95,7516.08,1,1,1,0
54,2003-02-24,2003,2,1,39,99.91,118,3896.49,5,1,9,1
55,2003-04-29,2003,4,2,29,96.34,118,2793.86,5,1,15,2
56,2003-07-01,2003,7,3,27,100.0,118,3307.77,5,1,1,1
57,2003-08-25,2003,8,3,37,100.0,118,5192.95,5,1,1,1
