ORDER_DATE,QUARTER,MONTH,YEAR,REGION,STATE,SHIPPING_TYPE,CUSTOMER_TYPE,QUANTITY_ORDERED,DEAL_SIZE,PRICE_EACH,MSRP,PRODUCT_TYPE,PRODUCT_LINE,SALES
2020-02-02,1,2,2020,Peninsular,KL,Free,Existing,30,Small,95.7,95,Makeup,Concealer,2871.0
2021-05-05,2,5,2021,Peninsular,Pahang,Free,Existing,34,Small,81.35,95,Skincare,Sunscreen,2765.9
2021-07-07,3,7,2021,Peninsular,Kedah,Free,New,41,Medium,94.74,95,Skincare,Serum,3884.34
2020-08-08,3,8,2020,Peninsular,Selangor,Free,Existing,45,Medium,83.26,95,Skincare,Makeup remover,3746.7
2021-10-10,4,10,2021,Peninsular,Selangor,Free,New,49,Medium,100.0,95,Makeup,Concealer,5205.27
2020-10-10,4,10,2020,Peninsular,Selangor,Free,New,36,Medium,96.66,95,Skincare,Sunscreen,3479.76
2020-11-11,4,11,2020,Peninsular,Negeri Sembilan,Free,Existing,29,Small,86.13,95,Skincare,Moisturizer,2497.77
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,Existing,48,Medium,100.0,95,Skincare,Face mask,5512.32
2021-12-12,4,12,2021,Peninsular,Selangor,Free,New,22,Small,98.57,95,Makeup,Eyeshadow,2168.54
2020-01-01,1,1,2020,Peninsular,Kelantan,Free,Existing,41,Medium,100.0,95,Skincare,Moisturizer,4708.44
2020-02-02,1,2,2020,Peninsular,Penang,Free,Existing,37,Medium,100.0,95,Makeup,Blush,3965.66
2021-04-04,2,4,2021,Peninsular,KL,Free,Existing,23,Small,100.0,95,Skincare,Essence,2333.12
2020-05-05,2,5,2020,Peninsular,Penang,Free,Existing,28,Medium,100.0,95,Skincare,Essence,3188.64
2020-06-06,2,6,2020,Peninsular,Perak,Free,New,34,Medium,100.0,95,Makeup,Eyeshadow,3676.76
2021-07-07,3,7,2021,Peninsular,Kelantan,Free,New,45,Medium,92.83,95,Skincare,Serum,4177.35
2021-08-08,3,8,2021,East,Sabah,Free,Existing,36,Medium,100.0,95,Skincare,Moisturizer,4099.68
2021-09-09,3,9,2021,Peninsular,Kelantan,Free,Existing,23,Small,100.0,95,Makeup,Liquid Lip,2597.39
2021-10-10,4,10,2021,East,Sarawak,Free,New,41,Medium,100.0,95,Makeup,Eyeshadow,4394.38
2020-11-11,4,11,2020,East,Sarawak,Free,Existing,46,Medium,94.74,95,Skincare,Moisturizer,4358.04
2021-11-11,4,11,2021,Peninsular,KL,Free,New,42,Medium,100.0,95,Skincare,Face mask,4396.14
2021-11-11,4,11,2021,Peninsular,Kelantan,Free,New,41,Large,100.0,95,Makeup,Eyeliner,7737.93
2021-12-12,4,12,2021,Peninsular,Melaka,Free,New,20,Small,72.55,95,Skincare,Eye cream,1451.0
2021-02-02,1,2,2021,Peninsular,Kelantan,Free,Existing,21,Small,34.91,95,Makeup,Eyeshadow,733.11
2020-03-03,1,3,2020,East,Sabah,Free,New,42,Medium,76.36,95,Skincare,Face mask,3207.12
2021-04-04,2,4,2021,Peninsular,Kelantan,Free,Existing,24,Small,100.0,95,Skincare,Moisturizer,2434.56
2020-05-05,2,5,2020,Peninsular,Pahang,Customer paid,Existing,66,Large,100.0,95,Makeup,Liquid Lip,7516.08
2021-01-01,1,1,2021,Peninsular,Kedah,Free,Existing,26,Medium,100.0,214,Skincare,Serum,5404.62
2021-03-03,1,3,2021,Peninsular,Kelantan,Free,Existing,29,Large,100.0,214,Skincare,Toner,7209.11
