Date,Price
1/1/2022,
2/1/2022,
3/1/2022,5214.00
4/1/2022,5245.50
5/1/2022,5331.00
6/1/2022,5340.00
7/1/2022,5336.00
8/1/2022,
9/1/2022,
10/1/2022,5347.00
11/1/2022,5266.00
12/1/2022,5278.00
13/1/2022,5301.00
14/1/2022,5294.00
15/1/2022,
16/1/2022,
17/1/2022,5297.00
18/1/2022,
19/1/2022,5409.00
20/1/2022,5380.50
21/1/2022,5421.50
22/1/2022,
23/1/2022,
24/1/2022,5497.00
25/1/2022,5442.00
26/1/2022,5497.50
27/1/2022,5605.50
28/1/2022,5700.00
29/1/2022,
30/1/2022,
31/1/2022,
1/2/2022,
2/2/2022,
3/2/2022,
4/2/2022,5744.00
5/2/2022,
6/2/2022,
7/2/2022,5749.50
8/2/2022,5515.00
9/2/2022,5642.50
10/2/2022,5751.00
11/2/2022,5799.50
12/2/2022,
13/2/2022,
14/2/2022,5837.00
15/2/2022,5970.50
16/2/2022,5951.50
17/2/2022,5964.00
18/2/2022,6027.50
19/2/2022,
20/2/2022,
21/2/2022,6158.00
22/2/2022,6279.00
23/2/2022,6485.00
24/2/2022,6845.50
25/2/2022,6779.00
26/2/2022,
27/2/2022,
28/2/2022,
1/3/2022,7786.50
2/3/2022,8076.50
3/3/2022,7530.50
4/3/2022,6843.50
5/3/2022,
6/3/2022,
7/3/2022,7005.50
8/3/2022,7005.00
9/3/2022,7410.00
10/3/2022,7546.00
11/3/2022,7440.50
12/3/2022,
13/3/2022,
14/3/2022,6927.50
15/3/2022,6846.50
16/3/2022,6895.00
17/3/2022,6737.00
18/3/2022,6392.00
19/3/2022,
20/3/2022,
21/3/2022,6382.00
22/3/2022,6502.00
23/3/2022,6646.00
24/3/2022,6688.50
25/3/2022,6664.50
26/3/2022,
27/3/2022,
28/3/2022,6647.00
29/3/2022,6633.50
30/3/2022,6587.50
31/3/2022,6424.50
1/4/2022,6251.00
2/4/2022,
3/4/2022,
4/4/2022,6357.50
5/4/2022,6457.00
6/4/2022,6571.00
7/4/2022,6487.50
8/4/2022,6533.50
9/4/2022,
10/4/2022,
11/4/2022,6626.50
12/4/2022,6619.50
13/4/2022,6551.50
14/4/2022,6639.00
15/4/2022,6642.50
16/4/2022,
17/4/2022,
18/4/2022,6710.00
19/4/2022,6633.50
20/4/2022,6717.50
21/4/2022,6773.50
22/4/2022,6777.50
23/4/2022,
24/4/2022,
25/4/2022,7234.50
26/4/2022,7078.00
27/4/2022,7213.00
28/4/2022,7468.50
29/4/2022,7605.50
30/4/2022,
1/5/2022,
2/5/2022,
3/5/2022,
4/5/2022,
5/5/2022,7469.50
6/5/2022,7090.50
7/5/2022,
8/5/2022,
9/5/2022,7052.00
10/5/2022,7010.50
11/5/2022,7078.00
12/5/2022,6939.00
13/5/2022,6950.00
14/5/2022,
15/5/2022,
16/5/2022,
17/5/2022,6635.50
18/5/2022,6679.50
19/5/2022,6635.50
20/5/2022,6734.50
21/5/2022,
22/5/2022,
23/5/2022,6715.00
24/5/2022,6894.50
25/5/2022,6951.50
26/5/2022,6979.50
27/5/2022,7095.50
28/5/2022,
29/5/2022,
30/5/2022,6787.50
31/5/2022,6680.00
1/6/2022,6676.50
2/6/2022,6752.00
3/6/2022,6771.00
4/6/2022,
5/6/2022,
6/6/2022,
7/6/2022,6753.50
8/6/2022,6746.50
9/6/2022,6644.50
10/6/2022,6540.50
11/6/2022,
12/6/2022,
13/6/2022,6091.00
14/6/2022,6068.00
15/6/2022,5914.50
16/6/2022,5719.00
17/6/2022,5703.50
18/6/2022,
19/6/2022,
20/6/2022,5398.50
21/6/2022,5245.00
22/6/2022,5046.00
23/6/2022,4770.50
24/6/2022,4765.50
25/6/2022,
26/6/2022,
27/6/2022,4914.50
28/6/2022,5092.00
29/6/2022,5154.00
30/6/2022,5065.00
1/7/2022,4838.50
2/7/2022,
3/7/2022,
4/7/2022,4698.00
5/7/2022,4344.00
6/7/2022,3934.00
7/7/2022,4088.50
8/7/2022,4205.50
9/7/2022,
10/7/2022,
11/7/2022,
12/7/2022,4244.00
13/7/2022,4000.00
14/7/2022,3990.00
15/7/2022,3631.50
16/7/2022,
17/7/2022,
18/7/2022,3810.00
19/7/2022,3956.00
20/7/2022,3956.50
21/7/2022,3810.50
22/7/2022,3820.50
23/7/2022,
24/7/2022,
25/7/2022,3783.50
26/7/2022,3913.50
27/7/2022,3895.00
28/7/2022,4022.00
29/7/2022,4197.00
30/7/2022,
31/7/2022,
1/8/2022,4143.50
2/8/2022,3946.50
3/8/2022,4011.50
4/8/2022,3939.00
5/8/2022,4040.50
6/8/2022,
7/8/2022,
8/8/2022,4119.00
9/8/2022,4175.50
10/8/2022,4166.50
11/8/2022,4245.50
12/8/2022,4420.00
13/8/2022,
14/8/2022,
15/8/2022,4253.00
16/8/2022,4240.00
17/8/2022,4217.00
18/8/2022,4158.00
19/8/2022,4153.00
20/8/2022,
21/8/2022,
22/8/2022,4210.50
23/8/2022,4196.00
24/8/2022,4258.50
25/8/2022,4276.00
26/8/2022,4205.50
27/8/2022,
28/8/2022,
29/8/2022,4193.50
30/8/2022,4025.50
31/8/2022,
1/9/2022,4002.50
2/9/2022,3905.00
3/9/2022,
4/9/2022,
5/9/2022,3896.00
6/9/2022,3834.00
7/9/2022,3680.50
8/9/2022,3663.00
9/9/2022,3625.00
10/9/2022,
11/9/2022,
12/9/2022,3642.50
13/9/2022,3756.50
14/9/2022,3763.50
15/9/2022,3694.00
16/9/2022,
17/9/2022,
18/9/2022,
19/9/2022,3743.50
20/9/2022,3703.00
21/9/2022,3753.50
22/9/2022,3780.00
23/9/2022,3748.50
24/9/2022,
25/9/2022,
26/9/2022,3465.50
27/9/2022,3494.00
28/9/2022,3275.00
29/9/2022,3297.50
30/9/2022,3321.00
1/10/2022,
2/10/2022,
3/10/2022,3377.00
4/10/2022,3451.00
5/10/2022,3599.50
6/10/2022,3645.50
7/10/2022,3646.00
8/10/2022,
9/10/2022,
10/10/2022,
11/10/2022,3586.00
12/10/2022,3635.50
13/10/2022,3633.50
14/10/2022,3721.00
15/10/2022,
16/10/2022,
17/10/2022,3717.00
18/10/2022,3863.50
19/10/2022,3996.50
20/10/2022,3974.50
21/10/2022,3959.00
22/10/2022,
23/10/2022,
24/10/2022,
25/10/2022,4014.50
26/10/2022,3942.50
27/10/2022,3983.50
28/10/2022,
29/10/2022,
30/10/2022,
31/10/2022,
1/11/2022,4045.00
2/11/2022,4204.00
3/11/2022,4190.00
